trade_id,counterparty_id,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,is_anomaly_multivariate,volatility_30d_was_missing,country_risk_was_missing,credit_rating_was_missing,asset_class_was_missing,counterparty_name_hash,trader_id_hash
TRD005039,CP013,FR0000000038,2024-04-11,2024-04-15,derivative,318562.87,44.1651,7213.0,44.1087,44.2355,44.1721,1801460,23.82,AA,0,healthcare,17.5,0,0,0,0,0,f546dc9858b23194,e45f0c8575eb36a6
TRD004388,CP004,FR0000000030,2024-05-20,2024-05-22,equity,225019.36,18.7939,11973.0,18.77,18.814,18.792,2237246,26.9,BB,0,healthcare,9.8,0,0,0,0,0,73febc4303887427,45a247caf6b19204
TRD004730,CP010,FR0000000122,2024-06-17,2024-06-19,fx,27226.82,0.9385,29011.0,0.937346,0.9409,0.9391,3298536,70.21,UNRATED,0,financials,58.0,0,0,0,1,0,ec6126b1d9bc1765,38daa8d89fe1d9f2
TRD003515,CP031,FR0000000127,2024-04-26,2024-04-29,derivative,634016.32,28.3943,22329.0,28.3615,28.4635,28.4125,4313855,45.41,BBB,0,utilities,37.8,0,0,0,0,0,264095ed8f0a1cbb,3ef31f0a77b333bb
TRD006031,CP036,FR0000000119,2024-06-24,2024-06-26,equity,8806576.471249998,602.6302,40765.0,602.53,603.0291,602.7795,2829316,32.85,BBB,0,financials,74.0,0,0,0,0,0,cbb1e8f16bb21d04,0154091366bc155c
TRD007438,CP031,FR0000000126,2024-04-08,2024-04-10,fx,8624.51,1.1243,7671.0,1.12121,1.1267,1.124,2078069,42.07,BBB,0,utilities,34.4,0,0,0,0,0,264095ed8f0a1cbb,e655d471e4387d17
TRD006910,CP034,FR0000000082,2024-04-29,2024-05-01,fx,15941.95,1.0718,14874.0,1.070087,1.0743,1.0722,4731636,45.51,CCC,1,consumer discretionary,26.2,0,1,0,0,0,8bc3ec8696c9a0f6,9dd731a3ff75f242
TRD004136,CP022,FR0000000113,2024-04-15,2024-04-17,fx,10038.9,1.2136,8272.0,1.212839,1.2179,1.2154,1052891,45.54,BB,0,energy,15.9,0,0,0,0,0,5c6826966ba47749,a2c8893aa5898d51
TRD002837,CP040,FR0000000004,2024-01-08,2024-01-10,fx,50743.68,1.14,44512.0,1.138952,1.143,1.141,4111720,45.51,D,0,technology,14.0,0,1,0,0,0,9f35de8e44ea372b,2c583c5e437aeb30
TRD007765,CP038,FR0000000128,2024-05-14,2024-05-16,fx,34821.41,0.9234,37710.0,0.921154,0.9237,0.9224,4661358,75.82,AA,0,technology,42.0,0,0,0,0,0,312b3c69d2e4a253,0154091366bc155c
TRD002177,CP003,FR0000000112,2024-04-11,2024-04-15,fx,37211.62,1.404,26504.0,1.399054,1.4056,1.4023,2801375,55.64,A,0,industrials,11.6,0,0,0,0,0,f82dee6071f4464b,38daa8d89fe1d9f2
TRD005881,CP016,FR0000000048,2024-01-05,2024-01-08,equity,1802700.22,122.8667,14672.0,122.83,123.0346,122.9323,2712353,59.32,BB,0,healthcare,42.9,0,0,0,0,0,271d62662f4dc519,3ef31f0a77b333bb
TRD002928,CP015,FR0000000016,2024-06-24,2024-06-26,derivative,246326.97,14.9561,16470.0,14.9478,14.9611,14.9545,143320,38.57,BB,0,financials,41.7,0,0,0,0,0,cea9e6f2335c6997,761210ee2e9f1afa
TRD005153,CP023,FR0000000065,2024-03-28,2024-04-01,bond,3209961.33,101.8518,31516.0,101.7402,101.9592,101.8497,2245585,55.29,D,1,utilities,35.4,0,0,0,0,0,9fd40a8a7e0d00a0,72906a7176a3a0dc
TRD004408,CP012,FR0000000107,2024-04-25,2024-04-29,derivative,144489.6,17.1318,8434.0,17.1206,17.1343,17.1274,2190689,68.44,UNRATED,0,technology,70.7,0,0,0,1,0,eba48b362aec6f28,2f234f032c18ad31
TRD002152,CP006,FR0000000128,2024-06-25,2024-06-27,derivative,1165703.72,46.4961,25071.0,46.4296,46.5368,46.4832,1234825,71.85,BBB,0,energy,23.5,0,0,0,0,0,67f724dfa4e67952,e45f0c8575eb36a6
TRD006116,CP044,FR0000000128,2024-02-19,2024-02-21,derivative,492945.28,15.8779,31046.0,15.87,15.892,15.881,2687658,43.57,BBB,0,technology,46.9,0,0,0,0,0,58cca389665c8934,1230320bbe62ab58
TRD008598,CP008,FR0000000147,2024-05-21,2024-05-23,equity,8806576.471249998,734.8518,17826.0,732.63,735.7327,734.1814,1293300,36.32,BBB,0,technology,44.2,0,0,0,0,0,97e1c0457e3e8b2b,38daa8d89fe1d9f2
TRD007404,CP032,FR0000000072,2024-06-18,2024-06-20,equity,8806576.471249998,546.5728,40707.0,546.44,546.7483,546.5942,4783887,34.95,A,0,technology,27.6,0,0,0,0,0,b529f7600e41e497,c29a13dd73dd8feb
TRD005614,CP016,FR0000000027,2024-01-08,2024-01-10,bond,1415609.21,94.3425,15005.0,94.2714,94.4846,94.378,1868621,53.29,BB,0,healthcare,44.3,0,0,0,0,0,271d62662f4dc519,45a247caf6b19204
TRD000800,CP043,FR0000000126,2024-05-03,2024-05-06,derivative,286083.83,16.452,17389.0,16.4346,16.4969,16.4657,2043199,45.51,A,0,healthcare,40.8,0,1,0,0,0,42194dc6bc24df88,3927c8f9af6ca5e0
TRD006822,CP002,FR0000000131,2024-04-08,2024-04-10,derivative,901694.66,37.5159,24035.0,37.4778,37.6039,37.5409,1664320,45.51,A,0,financials,43.1,0,1,0,0,0,f910def6426247ee,9dd731a3ff75f242
TRD005873,CP041,FR0000000122,2024-06-21,2024-06-24,derivative,295360.85,6.823,43289.0,6.8196,6.8296,6.8246,2008643,14.77,B,0,industrials,15.5,0,0,0,0,0,cdfd0c25ff6b3986,761210ee2e9f1afa
TRD003399,CP006,FR0000000020,2024-02-20,2024-02-22,derivative,304842.25,8.6048,35427.0,8.5942,8.6086,8.6014,2737737,44.36,BBB,0,energy,26.4,0,0,0,0,0,67f724dfa4e67952,5f00f85bea91d353
TRD004342,CP045,FR0000000101,2024-06-28,2024-07-01,fx,10032.87,0.9252,10844.0,0.92495,0.9255,0.9252,2078564,49.77,AA,0,financials,22.7,0,0,0,0,0,6ba3aef6f74d8723,2f234f032c18ad31
TRD008365,CP015,FR0000000099,2024-05-07,2024-05-09,bond,4974605.24,111.346,44677.0,111.168,111.6471,111.4076,1624573,77.27,BB,1,financials,41.8,0,0,0,0,0,cea9e6f2335c6997,28c28463a46f7436
TRD007092,CP002,FR0000000095,2024-01-08,2024-01-10,fx,10670.15,1.1284,9456.0,1.12798,1.1289,1.1284,2755587,56.77,UNRATED,0,financials,36.7,0,0,0,1,0,f910def6426247ee,f0b16c34cbd1fe44
TRD003257,CP041,FR0000000093,2024-01-16,2024-01-18,equity,8806576.471249998,782.4262,43745.0,779.39,783.0106,781.2003,1472045,31.07,B,1,industrials,11.9,0,0,0,0,0,cdfd0c25ff6b3986,f0b16c34cbd1fe44
TRD005099,CP012,FR0000000016,2024-05-28,2024-05-30,bond,2087253.21,109.6592,19034.0,109.577,109.7013,109.6392,3283000,8.61,BB,0,technology,66.5,0,0,0,0,0,eba48b362aec6f28,28c28463a46f7436
TRD004514,CP040,FR0000000102,2024-05-06,2024-05-08,fx,15029.6,1.1039,13615.0,1.101732,1.1062,1.104,2245484,7.08,D,1,technology,16.8,0,0,0,0,0,9f35de8e44ea372b,f0b16c34cbd1fe44
TRD008173,CP025,FR0000000095,2024-05-29,2024-05-31,bond,2655484.97,87.6282,30304.0,87.4321,87.7128,87.5725,2364815,9.29,BBB,0,industrials,54.9,0,0,0,0,0,a9b9873f97332de9,f0b16c34cbd1fe44
TRD000802,CP021,FR0000000080,2024-05-13,2024-05-15,fx,10862.39,1.2597,8623.0,1.258703,1.2641,1.2614,4317248,22.5,BB,0,financials,53.8,0,0,0,0,0,6889444dd18e9fc5,fb06d9cf4462b452
